77203,2021/1/10 12:00,118.6,0
77205,2021/1/10 12:05,101.4,0
77207,2021/1/10 12:10,89.2,0
77209,2021/1/10 12:15,89,0
77211,2021/1/10 12:20,100.2,0
77213,2021/1/10 12:25,92.6,0
77215,2021/1/10 12:30,104.2,0
77217,2021/1/10 12:35,108.2,0
77219,2021/1/10 12:40,124.6,0
77221,2021/1/10 12:45,113.4,0
77223,2021/1/10 12:50,84.6,0
77225,2021/1/10 12:55,101,0
77227,2021/1/10 13:00,90.8,0
77229,2021/1/10 13:05,88.2,0
77231,2021/1/10 13:10,86.2,0
77233,2021/1/10 13:15,87.2,0
77235,2021/1/10 13:20,84.2,0
77237,2021/1/10 13:25,88.8,0
77239,2021/1/10 13:30,85.8,0
77241,2021/1/10 13:35,95.4,0
77243,2021/1/10 13:40,82.8,0
77245,2021/1/10 13:45,68.2,0
77247,2021/1/10 13:50,65.4,0
77249,2021/1/10 13:55,81.4,0
77251,2021/1/10 14:00,79,0
77253,2021/1/10 14:05,74.8,0
77255,2021/1/10 14:10,63.6,0
77257,2021/1/10 14:15,73.2,0
77259,2021/1/10 14:20,65.6,0
77261,2021/1/10 14:25,68,0
77263,2021/1/10 14:30,73.6,0
77265,2021/1/10 14:35,78.4,0
77267,2021/1/10 14:40,72.8,0
77269,2021/1/10 14:45,65.2,0
77271,2021/1/10 14:50,77,0
77273,2021/1/10 14:55,81.6,0
77275,2021/1/10 15:00,91.4,0
77277,2021/1/10 15:05,93.2,0
77279,2021/1/10 15:10,85.4,0
77281,2021/1/10 15:15,89.4,0
77283,2021/1/10 15:20,98.8,0
77285,2021/1/10 15:25,82.4,0
77287,2021/1/10 15:30,72.6,0
77289,2021/1/10 15:35,77.8,0
77291,2021/1/10 15:40,85.6,0
77293,2021/1/10 15:45,87,0
77295,2021/1/10 15:50,88.8,0
77297,2021/1/10 15:55,177,0
77299,2021/1/10 16:00,77.6,0
77301,2021/1/10 16:05,150.6,0
77303,2021/1/10 16:10,146,0
77305,2021/1/10 16:15,145,0
77307,2021/1/10 16:20,168.2,0
77309,2021/1/10 16:25,156.4,0
77311,2021/1/10 16:30,149.6,0
77313,2021/1/10 16:35,155.8,0
77315,2021/1/10 16:40,150.8,0
77317,2021/1/10 16:45,156.2,0
77319,2021/1/10 16:50,165.8,0
77321,2021/1/10 16:55,172.6,0
77323,2021/1/10 17:00,164,0
77325,2021/1/10 17:05,172.8,0
77327,2021/1/10 17:10,176,0
77329,2021/1/10 17:15,151.8,0
77331,2021/1/10 17:20,166.2,0
77333,2021/1/10 17:25,157.4,0
77335,2021/1/10 17:30,139.4,0
77337,2021/1/10 17:35,126.6,0
77339,2021/1/10 17:40,128.6,0
77341,2021/1/10 17:45,116.6,0
77343,2021/1/10 17:50,114.6,0
77345,2021/1/10 17:55,117.4,0
77347,2021/1/10 18:00,112,0
77349,2021/1/10 18:05,128.4,0
77351,2021/1/10 18:10,132.8,0
