76199,1/10/2021 00:05:00,-0.24,0
76201,1/10/2021 00:10:00,0,0
76203,1/10/2021 00:15:00,-0.24,0
76205,1/10/2021 00:20:00,-0.24,0
76207,1/10/2021 00:25:00,-0.24,0
76209,1/10/2021 00:30:00,-0.24,0
76211,1/10/2021 00:35:00,0,0
76213,1/10/2021 00:40:00,0,0
76215,1/10/2021 00:45:00,0,0
76217,1/10/2021 00:50:00,-0.24,0
76219,1/10/2021 00:55:00,-0.24,0
76221,1/10/2021 01:00:00,-0.24,0
76223,1/10/2021 01:05:00,-0.24,0
76225,1/10/2021 01:10:00,-0.24,0
76227,1/10/2021 01:15:00,-0.24,0
76229,1/10/2021 01:20:00,-0.24,0
76231,1/10/2021 01:25:00,-0.24,0
76233,1/10/2021 01:30:00,-0.24,0
76235,1/10/2021 01:35:00,-0.24,0
76237,1/10/2021 01:40:00,-0.24,0
76239,1/10/2021 01:45:00,-0.24,0
76241,1/10/2021 01:50:00,-0.24,0
76243,1/10/2021 01:55:00,0,0
76245,1/10/2021 02:00:00,-0.24,0
76247,1/10/2021 02:05:00,0,0
76249,1/10/2021 02:10:00,-0.24,0
76251,1/10/2021 02:15:00,-0.24,0
76253,1/10/2021 02:20:00,-0.24,0
76255,1/10/2021 02:25:00,-0.24,0
76257,1/10/2021 02:30:00,-0.24,0
76259,1/10/2021 02:35:00,-0.24,0
76261,1/10/2021 02:40:00,-0.24,0
76263,1/10/2021 02:45:00,-0.24,0
76265,1/10/2021 02:50:00,-0.24,0
76267,1/10/2021 02:55:00,-0.24,0
76269,1/10/2021 03:00:00,-0.24,0
76271,1/10/2021 03:05:00,0,0
76273,1/10/2021 03:10:00,-0.24,0
76275,1/10/2021 03:15:00,-0.24,0
76277,1/10/2021 03:20:00,-0.24,0
76279,1/10/2021 03:25:00,0,0
76281,1/10/2021 03:30:00,-0.24,0
76283,1/10/2021 03:35:00,-0.24,0
76285,1/10/2021 03:40:00,-0.24,0
76287,1/10/2021 03:45:00,0,0
76289,1/10/2021 03:50:00,0,0
76291,1/10/2021 03:55:00,0,0
76293,1/10/2021 04:00:00,-0.24,0
76295,1/10/2021 04:05:00,-0.24,0
76297,1/10/2021 04:10:00,-0.24,0
76299,1/10/2021 04:15:00,-0.24,0
76301,1/10/2021 04:20:00,0,0
76303,1/10/2021 04:25:00,0,0
76305,1/10/2021 04:30:00,0,0
76307,1/10/2021 04:35:00,-0.24,0
76309,1/10/2021 04:40:00,-0.24,0
76311,1/10/2021 04:45:00,0,0
76313,1/10/2021 04:50:00,-0.24,0
76315,1/10/2021 04:55:00,-0.24,0
76317,1/10/2021 05:00:00,-0.24,0
76319,1/10/2021 05:05:00,-0.24,0
76321,1/10/2021 05:10:00,-0.24,0
76323,1/10/2021 05:15:00,-0.24,0
76325,1/10/2021 05:20:00,0,0
