time,val,用电量,is_workday,month,hour
2018-08-31,25221102.0,2196.0,24,192,276
2018-09-02,25254062.0,182.0,0,216,276
2018-09-03,25285868.0,2510.0,24,216,276
2018-09-04,25346644.0,2746.0,24,216,276
2018-09-05,25411698.0,2524.0,24,216,276
2018-09-06,25457304.0,1460.0,24,216,276
2018-09-07,25493570.0,1258.0,24,216,276
2018-09-08,25510208.0,168.0,0,216,276
2018-09-09,25514250.0,168.0,0,216,276
2018-09-10,25531236.0,1250.0,24,216,276
2018-09-11,25561594.0,1418.0,24,216,276
2018-09-12,25589112.0,772.0,24,216,276
2018-09-13,25601138.0,200.0,24,216,276
2018-09-14,25622308.0,1590.0,24,216,276
2018-09-15,25643976.0,190.0,0,216,276
2018-09-16,25648570.0,188.0,0,216,276
2018-09-17,25659426.0,814.0,24,216,276
2018-09-18,25679860.0,1112.0,24,216,276
2018-09-19,25724422.0,2508.0,24,216,276
2018-09-20,25784082.0,2492.0,24,216,276
2018-09-21,25825972.0,862.0,24,216,276
2018-09-22,25839836.0,170.0,0,216,276
2018-09-23,25843866.0,168.0,0,216,276
2018-09-24,25847926.0,172.0,0,216,276
2018-09-25,25852348.0,196.0,24,216,276
2018-09-26,25856878.0,182.0,24,216,276
2018-09-27,25861190.0,178.0,24,216,276
2018-09-28,25865510.0,182.0,24,216,276
2018-09-29,25869880.0,182.0,24,216,276
2018-09-30,25874306.0,184.0,24,216,276
2018-10-01,25878526.0,168.0,0,240,276
2018-10-03,25886414.0,166.0,0,240,276
2018-10-04,25890366.0,162.0,0,240,276
2018-10-05,25894304.0,170.0,0,240,276
2018-10-06,25898268.0,148.0,0,240,276
2018-10-07,25901574.0,138.0,0,240,276
2018-10-25,25971460.0,170.0,24,240,276
2018-11-04,26011258.0,158.0,0,264,276
2018-11-05,26015242.0,172.0,24,264,276
2018-11-08,26027816.0,176.0,24,264,276
2018-11-12,24958400.0,164.0,23,253,276
2018-11-13,26047492.0,164.0,24,264,276
2018-11-14,26066412.0,1436.0,24,264,276
2018-11-15,26103868.0,1740.0,24,264,276
2018-11-16,26142918.0,1422.0,24,264,276
2018-11-17,26161986.0,178.0,0,264,276
2018-11-18,26166152.0,172.0,0,264,276
2018-11-19,26189060.0,1712.0,24,264,276
2018-11-20,26231660.0,2110.0,24,264,276
2018-11-21,26279752.0,1760.0,24,264,276
2018-11-22,26312670.0,750.0,24,264,276
2018-12-01,26379376.0,166.0,0,288,276
2018-12-02,26383330.0,164.0,0,288,276
2018-12-03,26405844.0,1880.0,24,288,276
2018-12-04,26452654.0,2078.0,24,288,276
2018-12-05,26501444.0,1774.0,24,288,276
2018-12-06,26546356.0,2178.0,24,288,276
2018-12-07,26595736.0,1722.0,24,288,276
2018-12-08,26618920.0,206.0,0,288,276
2018-12-09,26623392.0,162.0,0,288,276
2018-12-10,26644292.0,1632.0,24,288,276
2018-12-11,26694124.0,2964.0,24,288,276
2018-12-12,26760512.0,2096.0,24,288,276
2018-12-13,26809536.0,2332.0,24,288,276
2018-12-14,26866970.0,2002.0,24,288,276
2018-12-15,26892312.0,202.0,0,288,276
2018-12-16,26896710.0,160.0,0,288,276
2018-12-17,26916112.0,1340.0,24,288,276
2018-12-18,26945896.0,1104.0,24,288,276
2019-01-08,27815328.0,2266.0,24,24,276
2019-01-09,27866216.0,1694.0,24,24,276
2019-01-10,27908574.0,2132.0,24,24,276
2019-01-11,27957542.0,1674.0,24,24,276
2019-01-12,27993616.0,1316.0,0,24,276
2019-01-13,28022042.0,1062.0,0,24,276
2019-01-14,28057972.0,2114.0,24,24,276
2019-01-15,28109976.0,2344.0,24,24,276
2019-01-16,28163236.0,2060.0,24,24,276
2019-01-17,28217328.0,2396.0,24,24,276
